No,Nombre,Fecha,Hora,Status
E008,JORGE MORALES LARA,2026-09-03,09:00,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-03,13:00,0
E007,JUAN CARRILLO SANTANA,2026-09-03,14:31,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-03,14:58,1
E001,VERONICA NAVA MARTINEZ,2026-09-03,15:59,1
E008,JORGE MORALES LARA,2026-09-03,18:01,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-03,20:58,1
E007,JUAN CARRILLO SANTANA,2026-09-03,21:28,1
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-04,07:58,0
E004,DEMETRIO MARTINEZ MEJIA,2026-09-04,07:59,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-04,08:01,0
E001,VERONICA NAVA MARTINEZ,2026-09-04,08:02,0
E008,JORGE MORALES LARA,2026-09-04,08:59,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-04,09:01,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-04,13:23,0
E007,JUAN CARRILLO SANTANA,2026-09-04,14:28,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-04,15:02,1
E001,VERONICA NAVA MARTINEZ,2026-09-04,15:58,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-04,17:02,1
E008,JORGE MORALES LARA,2026-09-04,18:02,1
E004,DEMETRIO MARTINEZ MEJIA,2026-09-04,19:59,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-04,20:58,1
E007,JUAN CARRILLO SANTANA,2026-09-04,21:28,1
E001,VERONICA NAVA MARTINEZ,2026-09-05,07:58,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-05,08:01,0
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-05,08:02,1
E008,JORGE MORALES LARA,2026-09-05,09:00,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-05,14:59,1
E001,VERONICA NAVA MARTINEZ,2026-09-05,16:01,1
E008,JORGE MORALES LARA,2026-09-05,17:58,1
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-06,08:01,0
E004,DEMETRIO MARTINEZ MEJIA,2026-09-06,08:02,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-06,13:01,0
E007,JUAN CARRILLO SANTANA,2026-09-06,14:30,0
E004,DEMETRIO MARTINEZ MEJIA,2026-09-06,19:58,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-06,20:59,1
E007,JUAN CARRILLO SANTANA,2026-09-06,21:29,1
E001,VERONICA NAVA MARTINEZ,2026-09-07,07:59,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-07,08:00,0
E004,DEMETRIO MARTINEZ MEJIA,2026-09-07,08:01,0
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-07,08:02,1
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-07,08:02,0
E008,JORGE MORALES LARA,2026-09-07,08:58,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-07,09:00,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-07,13:01,0
E007,JUAN CARRILLO SANTANA,2026-09-07,14:28,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-07,15:00,1
E001,VERONICA NAVA MARTINEZ,2026-09-07,16:01,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-07,16:58,1
E007,JUAN CARRILLO SANTANA,2026-09-07,17:00,1
E007,JUAN CARRILLO SANTANA,2026-09-07,17:45,0
E008,JORGE MORALES LARA,2026-09-07,17:59,1
E004,DEMETRIO MARTINEZ MEJIA,2026-09-07,20:01,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-07,21:01,1
E007,JUAN CARRILLO SANTANA,2026-09-07,21:32,1
E001,VERONICA NAVA MARTINEZ,2026-09-08,07:59,0
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-08,07:59,1
E005,MARIA DEL CARMEN MORALES LARA,2026-09-08,08:00,0
E008,JORGE MORALES LARA,2026-09-08,09:01,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-08,09:02,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-08,12:59,0
E001,VERONICA NAVA MARTINEZ,2026-09-08,13:00,1
E001,VERONICA NAVA MARTINEZ,2026-09-08,14:00,0
E007,JUAN CARRILLO SANTANA,2026-09-08,14:31,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-08,14:58,1
E001,VERONICA NAVA MARTINEZ,2026-09-08,15:58,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-08,17:00,1
E008,JORGE MORALES LARA,2026-09-08,17:59,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-08,21:01,1
E007,JUAN CARRILLO SANTANA,2026-09-08,21:30,1
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-09,08:01,0
E004,DEMETRIO MARTINEZ MEJIA,2026-09-09,08:01,0
E001,VERONICA NAVA MARTINEZ,2026-09-09,08:02,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-09,08:05,0
E008,JORGE MORALES LARA,2026-09-09,08:58,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-09,09:01,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-09,13:00,0
E007,JUAN CARRILLO SANTANA,2026-09-09,14:31,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-09,14:59,1
E001,VERONICA NAVA MARTINEZ,2026-09-09,16:00,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-09,17:02,1
E008,JORGE MORALES LARA,2026-09-09,18:02,1
E004,DEMETRIO MARTINEZ MEJIA,2026-09-09,19:58,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-09,20:59,1
E007,JUAN CARRILLO SANTANA,2026-09-09,21:32,1
E001,VERONICA NAVA MARTINEZ,2026-09-10,08:00,0
E003,HUMBERTO ROMERO HERNANDEZ,2026-09-10,08:01,1
E005,MARIA DEL CARMEN MORALES LARA,2026-09-10,08:02,0
E008,JORGE MORALES LARA,2026-09-10,09:00,0
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-10,09:01,0
E006,RENE SANCHEZ DEGOLLADO,2026-09-10,13:01,0
E007,JUAN CARRILLO SANTANA,2026-09-10,14:32,0
E005,MARIA DEL CARMEN MORALES LARA,2026-09-10,15:02,1
E001,VERONICA NAVA MARTINEZ,2026-09-10,16:01,1
E002,LUIS FERNANDO VELAZQUEZ ESCOBAR,2026-09-10,17:02,1
E008,JORGE MORALES LARA,2026-09-10,17:58,1
E006,RENE SANCHEZ DEGOLLADO,2026-09-10,21:00,1
E007,JUAN CARRILLO SANTANA,2026-09-10,21:28,1
